Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2505_2835,6,Grebe,Little,Tachybaptus,ruficollis,100.0,0.0,,,100.0,0.0,0.0,,33.3,0.0,0.0,33.3,6,22,27.3
2505_2835,55,Heron,Black-headed,Ardea,melanocephala,66.7,100.0,,,0.0,0.0,0.0,,0.0,0.0,33.3,33.3,6,22,27.3
2505_2835,58,Egret,Great,Ardea,alba,33.3,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,22,4.5
2505_2835,59,Egret,Little,Egretta,garzetta,0.0,0.0,,,0.0,0.0,50.0,,0.0,0.0,0.0,0.0,1,22,4.5
2505_2835,60,Egret,Intermediate,Ardea,intermedia,33.3,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,22,4.5
2505_2835,61,Egret,"Western Cattle",Bubulcus,ibis,100.0,50.0,,,100.0,100.0,50.0,,100.0,100.0,100.0,100.0,20,22,90.9
2505_2835,72,,Hamerkop,Scopus,umbretta,0.0,50.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,22,4.5
2505_2835,78,Stork,Abdim's,Ciconia,abdimii,66.7,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,33.3,3,22,13.6
2505_2835,80,Stork,White,Ciconia,ciconia,0.0,50.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,22,4.5
2505_2835,83,Ibis,Glossy,Plegadis,falcinellus,0.0,0.0,,,0.0,0.0,0.0,,33.3,0.0,0.0,33.3,2,22,9.1
2505_2835,84,Ibis,"Hadada ",Bostrychia,hagedash,0.0,0.0,,,100.0,50.0,50.0,,66.7,0.0,0.0,100.0,9,22,40.9
2505_2835,85,Spoonbill,African,Platalea,alba,0.0,0.0,,,0.0,0.0,0.0,,33.3,0.0,0.0,0.0,1,22,4.5
2505_2835,88,Goose,Spur-winged,Plectropterus,gambensis,66.7,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2,22,9.1
2505_2835,89,Goose,Egyptian,Alopochen,aegyptiaca,33.3,0.0,,,100.0,0.0,0.0,,66.7,0.0,0.0,66.7,6,22,27.3
