Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2205_2930,54,Heron,Grey,Ardea,cinerea,,,0.0,,,,100.0,,,,,,1,2,50.0
2205_2930,59,Egret,Little,Egretta,garzetta,,,0.0,,,,100.0,,,,,,1,2,50.0
2205_2930,72,,Hamerkop,Scopus,umbretta,,,0.0,,,,100.0,,,,,,1,2,50.0
2205_2930,80,Stork,White,Ciconia,ciconia,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,89,Goose,Egyptian,Alopochen,aegyptiaca,,,100.0,,,,100.0,,,,,,2,2,100.0
2205_2930,107,Vulture,White-backed,Gyps,africanus,,,100.0,,,,100.0,,,,,,2,2,100.0
2205_2930,108,Vulture,Lappet-faced,Torgos,tracheliotos,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,114,Falcon,Lanner,Falco,biarmicus,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,130,Kite,"Black-winged ",Elanus,caeruleus,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,133,Eagle,Verreaux's,Aquila,verreauxii,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,137,Eagle,Wahlberg's,Hieraaetus,wahlbergi,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,142,Eagle,Martial,Polemaetus,bellicosus,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,145,Eagle,"Brown Snake ",Circaetus,cinereus,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,149,Eagle,"African Fish",Haliaeetus,vocifer,,,0.0,,,,100.0,,,,,,1,2,50.0
2205_2930,161,,Shikra,Accipiter,badius,,,0.0,,,,100.0,,,,,,1,2,50.0
2205_2930,165,Goshawk,"Pale Chanting",Melierax,canorus,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,174,Francolin,Crested,Dendroperdix,sephaena,,,100.0,,,,100.0,,,,,,2,2,100.0
2205_2930,183,Spurfowl,Natal,Pternistis,natalensis,,,100.0,,,,100.0,,,,,,2,2,100.0
2205_2930,185,Spurfowl,Swainson's,Pternistis,swainsonii,,,100.0,,,,100.0,,,,,,2,2,100.0
2205_2930,190,Quail,Harlequin,Coturnix,delegorguei,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,192,Guineafowl,Helmeted,Numida,meleagris,,,0.0,,,,100.0,,,,,,1,2,50.0
2205_2930,196,Buttonquail,Common,Turnix,sylvaticus,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,203,Crake,Black,Zapornia,flavirostra,,,0.0,,,,100.0,,,,,,1,2,50.0
2205_2930,217,Bustard,Kori,Ardeotis,kori,,,100.0,,,,0.0,,,,,,1,2,50.0
2205_2930,224,Korhaan,Red-crested,Lophotis,ruficrista,,,0.0,,,,100.0,,,,,,1,2,50.0
2205_2930,238,Plover,Three-banded,Charadrius,tricollaris,,,0.0,,,,100.0,,,,,,1,2,50.0
2205_2930,242,Lapwing,Crowned,Vanellus,coronatus,,,0.0,,,,100.0,,,,,,1,2,50.0
2205_2930,245,Lapwing,Blacksmith,Vanellus,armatus,,,0.0,,,,100.0,,,,,,1,2,50.0
2205_2930,275,Thick-knee,Spotted,Burhinus,capensis,,,100.0,,,,0.0,,,,,,1,2,50.0
