Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
2355_3145,41,Pelican,Pink-backed,Pelecanus,rufescens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,1,67,1.5
2355_3145,47,Cormorant,"White-breasted ",Phalacrocorax,lucidus,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,42.9,12.5,25.0,0.0,7,67,10.4
2355_3145,50,Cormorant,Reed,Microcarbo,africanus,20.0,8.3,40.0,20.0,33.3,71.4,0.0,100.0,85.7,50.0,62.5,25.0,28,67,41.8
2355_3145,54,Heron,Grey,Ardea,cinerea,40.0,33.3,0.0,60.0,0.0,42.9,50.0,100.0,57.1,37.5,62.5,0.0,26,67,38.8
2355_3145,56,Heron,Goliath,Ardea,goliath,60.0,50.0,0.0,80.0,33.3,71.4,0.0,100.0,42.9,37.5,100.0,50.0,36,67,53.7
2355_3145,58,Egret,Great,Ardea,alba,0.0,0.0,0.0,0.0,0.0,14.3,0.0,100.0,42.9,0.0,0.0,0.0,5,67,7.5
2355_3145,59,Egret,Little,Egretta,garzetta,20.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,14.3,37.5,12.5,25.0,8,67,11.9
2355_3145,61,Egret,"Western Cattle",Bubulcus,ibis,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,14.3,12.5,12.5,0.0,4,67,6.0
2355_3145,63,Heron,Striated,Butorides,striata,40.0,8.3,0.0,0.0,0.0,14.3,0.0,0.0,42.9,37.5,62.5,25.0,16,67,23.9
2355_3145,66,Bittern,Dwarf,Ixobrychus,sturmii,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,67,1.5
2355_3145,72,,Hamerkop,Scopus,umbretta,20.0,41.7,20.0,0.0,33.3,71.4,0.0,0.0,28.6,25.0,75.0,0.0,23,67,34.3
2355_3145,73,Stork,Marabou,Leptoptilos,crumenifer,0.0,25.0,20.0,20.0,66.7,0.0,0.0,0.0,0.0,0.0,12.5,25.0,9,67,13.4
2355_3145,74,Openbill,African,Anastomus,lamelligerus,20.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,0.0,5,67,7.5
2355_3145,75,Stork,Saddle-billed,Ephippiorhynchus,senegalensis,0.0,16.7,0.0,0.0,0.0,14.3,50.0,100.0,14.3,0.0,50.0,25.0,11,67,16.4
2355_3145,76,Stork,Yellow-billed,Mycteria,ibis,40.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,25.0,87.5,50.0,18,67,26.9
2355_3145,77,Stork,Woolly-necked,Ciconia,episcopus,20.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,3,67,4.5
2355_3145,79,Stork,Black,Ciconia,nigra,0.0,8.3,20.0,0.0,0.0,14.3,0.0,0.0,0.0,12.5,12.5,0.0,5,67,7.5
2355_3145,84,Ibis,"Hadada ",Bostrychia,hagedash,20.0,16.7,0.0,0.0,0.0,28.6,0.0,0.0,42.9,0.0,25.0,0.0,10,67,14.9
2355_3145,85,Spoonbill,African,Platalea,alba,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,2,67,3.0
2355_3145,88,Goose,Spur-winged,Plectropterus,gambensis,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.0,14.3,0.0,0.0,0.0,2,67,3.0
2355_3145,89,Goose,Egyptian,Alopochen,aegyptiaca,20.0,75.0,60.0,80.0,100.0,100.0,100.0,100.0,57.1,87.5,100.0,100.0,53,67,79.1
2355_3145,100,Duck,"White-faced Whistling",Dendrocygna,viduata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,1,67,1.5
2355_3145,106,Vulture,Cape,Gyps,coprotheres,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,67,1.5
2355_3145,107,Vulture,White-backed,Gyps,africanus,20.0,33.3,20.0,20.0,33.3,71.4,50.0,0.0,42.9,12.5,12.5,0.0,19,67,28.4
2355_3145,109,Vulture,White-headed,Trigonoceps,occipitalis,20.0,8.3,0.0,20.0,0.0,14.3,50.0,0.0,0.0,12.5,0.0,0.0,6,67,9.0
2355_3145,110,Vulture,Hooded,Necrosyrtes,monachus,0.0,8.3,0.0,20.0,0.0,14.3,0.0,0.0,14.3,0.0,12.5,0.0,5,67,7.5
2355_3145,113,Falcon,Peregrine,Falco,peregrinus,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,2,67,3.0
2355_3145,115,Hobby,Eurasian,Falco,subbuteo,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,67,1.5
2355_3145,129,Kite,Yellow-billed,Milvus,aegyptius,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,50.0,87.5,25.0,19,67,28.4
2355_3145,134,Eagle,Tawny,Aquila,rapax,0.0,16.7,0.0,40.0,0.0,28.6,50.0,0.0,0.0,0.0,12.5,0.0,8,67,11.9
2355_3145,136,Eagle,"Lesser Spotted",Clanga,pomarina,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,67,3.0
2355_3145,137,Eagle,Wahlberg's,Hieraaetus,wahlbergi,20.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,28.6,37.5,25.0,0.0,16,67,23.9
2355_3145,141,Hawk-eagle,African,Aquila,spilogaster,0.0,0.0,20.0,0.0,33.3,0.0,0.0,100.0,28.6,12.5,25.0,0.0,8,67,11.9
2355_3145,142,Eagle,Martial,Polemaetus,bellicosus,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,2,67,3.0
2355_3145,145,Eagle,"Brown Snake ",Circaetus,cinereus,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,28.6,12.5,0.0,25.0,5,67,7.5
2355_3145,149,Eagle,"African Fish",Haliaeetus,vocifer,20.0,58.3,80.0,40.0,33.3,42.9,100.0,0.0,42.9,62.5,100.0,50.0,38,67,56.7
2355_3145,151,,Bateleur,Terathopius,ecaudatus,20.0,33.3,60.0,60.0,33.3,28.6,100.0,0.0,42.9,25.0,37.5,25.0,25,67,37.3
2355_3145,161,,Shikra,Accipiter,badius,0.0,0.0,40.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,3,67,4.5
