Pentad,Spp,Common_group,Common_species,Genus,Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Records,Total_Cards,ReportingRate
3025_1830,152,Buzzard,Jackal,Buteo,rufofuscus,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,165,Goshawk,"Pale Chanting",Melierax,canorus,,,,,,100.0,,,0.0,,,,1,2,50.0
3025_1830,316,Dove,"Cape Turtle",Streptopelia,capicola,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,461,Lark,Karoo,Calendulauda,albescens,,,,,,100.0,,,100.0,,,,2,2,100.0
3025_1830,506,Martin,Rock,Ptyonoprogne,fuligula,,,,,,100.0,,,100.0,,,,2,2,100.0
3025_1830,522,Crow,Pied,Corvus,albus,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,524,Raven,White-necked,Corvus,albicollis,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,564,Wheatear,Mountain,Myrmecocichla,monticola,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,566,Chat,Karoo,Emarginata,schlegelii,,,,,,100.0,,,100.0,,,,2,2,100.0
3025_1830,575,Chat,"Ant-eating ",Myrmecocichla,formicivora,,,,,,100.0,,,0.0,,,,1,2,50.0
3025_1830,583,"Scrub Robin",Karoo,Cercotrichas,coryphoeus,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,707,Fiscal,"Southern ",Lanius,collaris,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,722,,Bokmakierie,Telophorus,zeylonus,,,,,,100.0,,,100.0,,,,2,2,100.0
3025_1830,751,Sunbird,Malachite,Nectarinia,famosa,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,760,Sunbird,"Southern Double-collared",Cinnyris,chalybeus,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,764,Sunbird,Dusky,Cinnyris,fuscus,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,786,Sparrow,Cape,Passer,melanurus,,,,,,100.0,,,100.0,,,,2,2,100.0
3025_1830,799,Weaver,Cape,Ploceus,capensis,,,,,,100.0,,,0.0,,,,1,2,50.0
3025_1830,861,Canary,Black-headed,Serinus,alario,,,,,,100.0,,,0.0,,,,1,2,50.0
3025_1830,865,Canary,White-throated,Crithagra,albogularis,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,866,Canary,Yellow,Crithagra,flaviventris,,,,,,100.0,,,100.0,,,,2,2,100.0
3025_1830,871,Bunting,Lark-like,Emberiza,impetuani,,,,,,0.0,,,100.0,,,,1,2,50.0
3025_1830,873,Bunting,Cape,Emberiza,capensis,,,,,,100.0,,,100.0,,,,2,2,100.0
3025_1830,4139,Prinia,Karoo,Prinia,maculosa,,,,,,100.0,,,100.0,,,,2,2,100.0
3030_1830,133,Eagle,Verreaux's,Aquila,verreauxii,,100.0,,,,,,,100.0,0.0,,,2,3,66.7
3030_1830,152,Buzzard,Jackal,Buteo,rufofuscus,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1830,189,Quail,Common,Coturnix,coturnix,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1830,311,Pigeon,Speckled,Columba,guinea,,0.0,,,,,,,100.0,100.0,,,2,3,66.7
3030_1830,316,Dove,"Cape Turtle",Streptopelia,capicola,,100.0,,,,,,,0.0,0.0,,,1,3,33.3
3030_1830,317,Dove,Laughing,Spilopelia,senegalensis,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1830,318,Dove,Namaqua,Oena,capensis,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1830,432,Barbet,"Acacia Pied",Tricholaema,leucomelas,,100.0,,,,,,,0.0,0.0,,,1,3,33.3
3030_1830,445,Woodpecker,Ground,Geocolaptes,olivaceus,,100.0,,,,,,,100.0,0.0,,,2,3,66.7
3030_1830,461,Lark,Karoo,Calendulauda,albescens,,0.0,,,,,,,100.0,100.0,,,2,3,66.7
3030_1830,463,Lark,Large-billed,Galerida,magnirostris,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1830,506,Martin,Rock,Ptyonoprogne,fuligula,,100.0,,,,,,,100.0,100.0,,,3,3,100.0
3030_1830,522,Crow,Pied,Corvus,albus,,0.0,,,,,,,100.0,100.0,,,2,3,66.7
3030_1830,564,Wheatear,Mountain,Myrmecocichla,monticola,,100.0,,,,,,,0.0,100.0,,,2,3,66.7
3030_1830,566,Chat,Karoo,Emarginata,schlegelii,,100.0,,,,,,,0.0,100.0,,,2,3,66.7
3030_1830,570,Chat,Familiar,Oenanthe,familiaris,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1830,575,Chat,"Ant-eating ",Myrmecocichla,formicivora,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1830,583,"Scrub Robin",Karoo,Cercotrichas,coryphoeus,,100.0,,,,,,,100.0,100.0,,,3,3,100.0
3030_1830,638,Cisticola,Grey-backed,Cisticola,subruficapilla,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1830,686,Wagtail,Cape,Motacilla,capensis,,100.0,,,,,,,0.0,0.0,,,1,3,33.3
3030_1830,722,,Bokmakierie,Telophorus,zeylonus,,100.0,,,,,,,0.0,100.0,,,2,3,66.7
3030_1830,744,Starling,Pale-winged,Onychognathus,nabouroup,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
3030_1830,760,Sunbird,"Southern Double-collared",Cinnyris,chalybeus,,0.0,,,,,,,100.0,0.0,,,1,3,33.3
3030_1830,786,Sparrow,Cape,Passer,melanurus,,0.0,,,,,,,100.0,100.0,,,2,3,66.7
3030_1830,799,Weaver,Cape,Ploceus,capensis,,0.0,,,,,,,0.0,100.0,,,1,3,33.3
